url,companyName,location,salary,contractType,jobTitle,jobDescription,jobCategory
"https://students.pl/oferty/specjalista-ds-obsugi-klienta,wroclaw/13776/",CCIG,Wrocław,"Nie podano","Umowa zlecenie","Specjalista ds. obsługi klienta","Specjalista ds. obsługi klienta Obsługa klienta Sprzedaż Call center Customer care","Obsługa klienta"
"https://students.pl/oferty/biuro-obsugi-klienta-sieci-sklepow-spozywczych,wroclaw/13775/",CCIG,Wrocław,"Nie podano","Umowa zlecenie","Biuro Obsługi Klienta sieci sklepów spożywczych","Biuro Obsługi Klienta sieci sklepów spożywczych Obsługa klienta Call center Customer care","Obsługa klienta"
"https://students.pl/oferty/specjalistka-specjalista-ds-marketing-automation,gdansk/13773/","LPP S.A.",Gdańsk,"Nie podano","Umowa o pracę","Specjalistka/ Specjalista ds. Marketing Automation","Specjalistka/ Specjalista ds. Marketing Automation Marketing i reklama E-commerce E-marketing Google Analytics","Marketing i reklama"
"https://students.pl/oferty/sprzedawca-house-odrzanskie-ogrody-kedzierzyn-kozle,kedzierzyn-kozle/13772/","LPP S.A.",Kędzierzyn-Koźle,"Nie podano","Umowa o pracę","Sprzedawca / House / Odrzańskie Ogrody / Kędzierzyn-Koźle","Sprzedawca / House / Odrzańskie Ogrody / Kędzierzyn-Koźle Sprzedaż Customer care",Sprzedaż
"https://students.pl/oferty/asystent-kierownika-cropp-focus-mall-zielona-gora,zielona-gora/13771/","LPP S.A.","Zielona Góra","Nie podano","Umowa o pracę","Asystent Kierownika / Cropp / Focus Mall / Zielona Góra","Asystent Kierownika / Cropp / Focus Mall / Zielona Góra Sprzedaż Customer care Koordynacja zmiany",Sprzedaż
"https://students.pl/oferty/real-time-specialist,warszawa/13770/","Teleperformance Polska",Warszawa,"Nie podano","Umowa o pracę, umowa zlecenie","Real Time Specialist","Real Time Specialist Administracja HR Microsoft Office",Administracja
"https://students.pl/oferty/telefoniczny-doradca-klienta,katowice/13768/",CCIG,Katowice,"Nie podano","Umowa zlecenie","Telefoniczny Doradca Klienta","Telefoniczny Doradca Klienta Obsługa klienta Call center Customer care","Obsługa klienta"
"https://students.pl/oferty/asystent-kierownika-cropp-focus-mall-zielona-gora,zielona-gora/13767/","LPP S.A.","Zielona Góra","Nie podano","Umowa o pracę","Asystent Kierownika / Cropp / Focus Mall / Zielona Góra","Asystent Kierownika / Cropp / Focus Mall / Zielona Góra Sprzedaż Customer care",Sprzedaż
"https://students.pl/oferty/asystent-kierownika-cropp-galeria-corso-swinoujscie,swinoujscie/13766/","LPP S.A.",Świnoujście,"Nie podano","Umowa o pracę","Asystent Kierownika / Cropp / Galeria Corso / Świnoujscie","Asystent Kierownika / Cropp / Galeria Corso / Świnoujscie Sprzedaż Customer care Koordynacja zmiany",Sprzedaż
"https://students.pl/oferty/sprzedawca-sinsay-forum-gdansk,gdansk/13765/","LPP S.A.",Gdańsk,"Nie podano","Umowa o pracę","Sprzedawca / Sinsay / Forum / Gdańsk","Sprzedawca / Sinsay / Forum / Gdańsk Sprzedaż Customer care",Sprzedaż
